car_reg,purchase_date,county,make,model,type,colour,tax_band,price
XXX-X-4698,2020-01-03,Dublin,Mazda : Mazda3 (Hatchback),,,red,b,28244
202-w-447,10 Jul,WATERFORD,Mercedes : A-Class,,Hatchback,BLUE,2,38219
192-D-4872,2019-Oct-16,,Mazda,Mazda3,Saloon,White,B,33656
191-l-1071,23 Mar,LIMERICK,Opel : Astra,,Hatchback,RED,1,31722
181-C-4177,2018-Mar-27,Cork,mazda,cx-5 : suv,,<colour>White</colour>,B,40083
XXX-X-4928,2020-07-03,Limerick,Ford : Focus (Estate),,,red,a,29865
201-D-3948,2020-Feb-19,,ford,FIESTA,Hatchback,#FFA500,A,26053
201-L-2645,2020-Feb-23,,ford,FIESTA,Hatchback,#FFFFFF,A,29204
202-d-1946,08 Jul,DUBLIN,Toyota : Camery,,Saloon,WHITE,2,42679
181-D-2085,2018-Mar-09,,Toyota,Corolla,Hatchback,Red,B,29064
201-d-1042,26 Jan,DUBLIN,Audi : A6,,Saloon,WHITE,3,76221
201-C-3995,2020-Jan-16,Cork,ford,focus : hatchback,,<colour>White</colour>,A,23458
181-d-4933,18 Feb,DUBLIN,Ford : Focus,,Estate,WHITE,1,40356
202-d-1332,02 Jul,DUBLIN,Mercedes : GLC-Class,,SUV,WHITE,3,48049
191-D-4591,2019-Jan-14,,Audi,A4,Saloon,Blue,B,46947
201-D-4455,2020-Feb-02,,Mercedes,GLC-Class,SUV,White,C,61651
XXX-X-4267,2020-01-02,Limerick,Opel : Astra (Hatchback),,,white,a,27812
191-W-3155,2019-Feb-16,,Toyota,Corolla,Hatchback,White,B,29045
182-L-4298,2018-Sep-08,,Audi,A6,Saloon,White,C,77800
XXX-X-1634,2018-07-20,Cork,Mercedes : A-Class (Saloon),,,blue,b,40512
192-c-655,08 Jul,CORK,Mazda : CX-30,,SUV,RED,2,39522
XXX-X-4373,2018-07-27,Cork,Opel : Astra (Hatchback),,,silver,a,29369
XXX-X-326,2019-07-14,Limerick,Opel : Crossland X (SUV),,,white,a,25273
202-l-1403,22 Jul,LIMERICK,BMW : 3 Series,,Estate,WHITE,2,52359
202-D-529,2020-Jul-02,Dublin,opel,crossland x : suv,,<colour>White</colour>,A,22732
192-G-1490,2019-Aug-05,,Opel,Grandland X,SUV,Red,B,39998
XXX-X-303,2020-03-08,Dublin,Mazda : CX-5 (SUV),,,blue,b,38522
181-D-244,2018-Feb-19,,ford,FOCUS,Estate,#FFFFFF,A,26126
191-g-4040,19 Jan,GALWAY,Opel : Grandland X,,SUV,BLUE,2,35784
XXX-X-2519,2019-06-19,Waterford,Audi : A4 (Estate),,,silver,b,52818
181-C-1910,2018-Mar-26,,Audi,A6,Saloon,Blue,C,62400
201-l-4603,19 Feb,LIMERICK,Toyota : Corolla,,Saloon,RED,2,31232
191-D-4914,2019-Jan-09,,BMW,3 Series,Estate,Red,B,61789
XXX-X-3139,2019-01-27,Dublin,BMW : 2 series (Coupe),,,blue,b,66439
202-C-2408,2020-Jul-09,,Mercedes,C-Class,Estate,Red,B,123908
XXX-X-4680,2020-07-04,Cork,Opel : Astra (Hatchback),,,white,a,29696
201-L-3753,2020-Jan-27,,opel,ASTRA,Hatchback,#FFFFFF,A,24966
201-W-2023,2020-Mar-18,,Ford,Fiesta,Hatchback,Silver,A,21988
XXX-X-1847,2020-02-16,Limerick,Ford : Mustang (Coupe),,,silver,c,67966
201-D-2729,2020-Apr-23,,BMW,2 series,Coupe,Orange,B,101102
181-D-362,2018-Jan-26,,opel,GRANDLAND X,SUV,#FFFFFF,B,38699
181-c-2693,16 Mar,CORK,Mercedes : GLC-Class,,SUV,WHITE,3,123851
191-l-3106,03 Jan,LIMERICK,Toyota : Corolla,,Saloon,SILVER,2,30115
191-D-4123,2019-Jan-11,,Mazda,Mazda6,Estate,White,B,35023
191-d-4582,25 Jan,DUBLIN,Mercedes : A-Class,,Saloon,WHITE,2,58406
XXX-X-932,2019-01-03,Dublin,Audi : A4 (Saloon),,,white,b,50614
181-w-1920,14 Jan,WATERFORD,BMW : 3 Series,,Saloon,RED,2,68861
XXX-X-4021,2020-07-23,Dublin,Mercedes : C-Class (Estate),,,blue,b,80983
182-D-4465,2018-Aug-25,,Mazda,Mazda3,Saloon,Silver,B,36896
181-D-1781,2018-Jan-03,,Mazda,Mazda6,Estate,Blue,B,35748
201-d-4385,10 Feb,DUBLIN,BMW : 3 Series,,Hatchback,RED,3,50504
202-L-966,2020-Jul-01,,mazda,MAZDA6,Saloon,#FFFFFF,B,38600
201-C-737,2020-Mar-07,,Toyota,Prius,Hatchback,Red,B,36617
XXX-X-1586,2019-03-01,Cork,BMW : 3 Series (Saloon),,,silver,b,56298
XXX-X-3155,2019-05-03,Dublin,BMW : 3 Series (Estate),,,silver,b,49355
202-l-2592,17 Jul,LIMERICK,BMW : 2 series,,Coupe,BLUE,2,77807
XXX-X-3425,2018-01-10,Cork,BMW : 3 Series (Hatchback),,,white,c,60035
XXX-X-2146,2020-02-26,Dublin,Opel : Insignia (Hatchback),,,white,b,38162
182-G-852,2018-Jul-09,,BMW,3 Series,Estate,Silver,B,70809
192-W-2459,2019-Jul-22,,Audi,A6,Saloon,White,C,66626
182-l-4462,10 Jul,LIMERICK,Toyota : Yaris,,Hatchback,SILVER,1,15449
181-L-3906,2018-May-10,Limerick,toyota,corolla : saloon,,<colour>White</colour>,B,29665
181-w-2831,11 Jan,WATERFORD,BMW : 3 Series,,Saloon,WHITE,2,42287
201-W-1065,2020-Feb-06,,BMW,X3,SUV,White,C,92578
181-D-949,2018-Feb-12,,Opel,Crossland X,SUV,Red,A,23344
XXX-X-4842,2018-07-07,Dublin,Opel : Grandland X (SUV),,,silver,b,41318
191-L-1556,2019-Jan-17,,BMW,2 series,Coupe,Red,B,101217
181-W-4765,2018-Jan-14,,Mercedes,A-Class,Saloon,Red,B,45949
201-G-4378,2020-Mar-19,,Toyota,Yaris,Hatchback,White,A,19789
181-G-4453,2018-Jun-07,,Opel,Astra,Hatchback,White,A,24762
181-C-4518,2018-Feb-22,,Ford,Fiesta,Hatchback,White,A,28769
181-l-2997,24 Jan,LIMERICK,Opel : Grandland X,,SUV,WHITE,2,47421
201-w-4494,07 May,WATERFORD,BMW : 5 Series,,Estate,WHITE,3,69144
XXX-X-4466,2018-01-24,Galway,Mazda : Mazda6 (Estate),,,white,b,36938
181-L-2705,2018-Jan-12,,Mazda,Mazda3,Saloon,Red,B,36739
201-D-614,2020-Feb-08,,Opel,Insignia,Hatchback,White,B,31844
XXX-X-2497,2018-06-08,Waterford,Toyota : Prius (Hatchback),,,white,b,34750
181-D-2869,2018-Mar-08,Dublin,mazda,mazda6 : saloon,,<colour>Blue</colour>,B,33142
181-C-2407,2018-Feb-17,Cork,toyota,rav4 : suv,,<colour>White</colour>,B,46711
XXX-X-2963,2018-03-05,Galway,Opel : Insignia (Hatchback),,,silver,b,30385
202-D-3554,2020-Jul-12,,bmw,3 SERIES,Estate,#FFFFFF,B,51512
192-D-3856,2019-Nov-11,,mazda,MAZDA6,Saloon,#FFFFFF,B,34291
181-D-1303,2018-Mar-18,,Mazda,CX-30,SUV,Blue,B,32261
201-L-3950,2020-May-09,,Toyota,Prius,Hatchback,Silver,B,34032
191-D-3774,2019-Feb-24,Dublin,opel,crossland x : suv,,<colour>White</colour>,A,25219
XXX-X-3961,2018-03-13,Waterford,BMW : X3 (SUV),,,white,c,63031
XXX-X-1185,2019-07-13,Waterford,Opel : Crossland X (SUV),,,blue,a,27529
