car_reg,purchase_date,year,month,county,make,model,type,colour,tax_band,price
201-D-4698,2020-03-01,2020,1,DUBLIN,MAZDA,MAZDA3,HATCHBACK,RED,B,28244.0
202-W-447,2020-10-07,2020,7,WATERFORD,MERCEDES,A-CLASS,HATCHBACK,BLUE,B,38219.0
192-D-4872,2019-10-16,2019,10,GALWAY,MAZDA,MAZDA3,SALOON,WHITE,B,33656.0
191-L-1071,2019-03-23,2019,3,LIMERICK,OPEL,ASTRA,HATCHBACK,RED,A,31722.0
181-C-4177,2018-03-27,2018,3,CORK,MAZDA,CX-5,SUV,WHITE,B,40083.0
202-L-4928,2020-03-07,2020,7,LIMERICK,FORD,FOCUS,ESTATE,RED,A,29865.0
201-D-3948,2020-02-19,2020,2,GALWAY,FORD,FIESTA,HATCHBACK,RED,A,26053.0
201-L-2645,2020-02-23,2020,2,GALWAY,FORD,FIESTA,HATCHBACK,RED,A,29204.0
202-D-1946,2020-08-07,2020,7,DUBLIN,TOYOTA,CAMERY,SALOON,WHITE,B,42679.0
181-D-2085,2018-09-03,2018,3,GALWAY,TOYOTA,COROLLA,HATCHBACK,RED,B,29064.0
201-D-1042,2020-01-26,2020,1,DUBLIN,AUDI,A6,SALOON,WHITE,C,76221.0
201-C-3995,2020-01-16,2020,1,CORK,FORD,FOCUS,HATCHBACK,WHITE,A,23458.0
181-D-4933,2018-02-18,2018,2,DUBLIN,FORD,FOCUS,ESTATE,WHITE,A,40356.0
202-D-1332,2020-02-07,2020,7,DUBLIN,MERCEDES,GLC-CLASS,SUV,WHITE,C,48049.0
191-D-4591,2019-01-14,2019,1,GALWAY,AUDI,A4,SALOON,BLUE,B,46947.0
201-D-4455,2020-02-02,2020,2,GALWAY,MERCEDES,GLC-CLASS,SUV,WHITE,C,61651.0
201-L-4267,2020-02-01,2020,1,LIMERICK,OPEL,ASTRA,HATCHBACK,WHITE,A,27812.0
191-W-3155,2019-02-16,2019,2,GALWAY,TOYOTA,COROLLA,HATCHBACK,WHITE,B,29045.0
182-L-4298,2018-08-09,2018,9,GALWAY,AUDI,A6,SALOON,WHITE,C,77800.0
202-C-1634,2018-07-20,2018,7,CORK,MERCEDES,A-CLASS,SALOON,BLUE,B,40512.0
192-C-655,2019-08-07,2019,7,CORK,MAZDA,CX-30,SUV,RED,B,39522.0
202-C-4373,2018-07-27,2018,7,CORK,OPEL,ASTRA,HATCHBACK,SILVER,A,29369.0
202-L-326,2019-07-14,2019,7,LIMERICK,OPEL,CROSSLAND X,SUV,WHITE,A,25273.0
202-L-1403,2020-07-22,2020,7,LIMERICK,BMW,3 SERIES,ESTATE,WHITE,B,52359.0
202-D-529,2020-02-07,2020,7,DUBLIN,OPEL,CROSSLAND X,SUV,WHITE,A,22732.0
192-G-1490,2019-05-08,2019,8,GALWAY,OPEL,GRANDLAND X,SUV,RED,B,39998.0
201-D-303,2020-08-03,2020,3,DUBLIN,MAZDA,CX-5,SUV,BLUE,B,38522.0
181-D-244,2018-02-19,2018,2,GALWAY,FORD,FOCUS,ESTATE,RED,A,26126.0
191-G-4040,2019-01-19,2019,1,GALWAY,OPEL,GRANDLAND X,SUV,BLUE,B,35784.0
201-W-2519,2019-06-19,2019,6,WATERFORD,AUDI,A4,ESTATE,SILVER,B,52818.0
181-C-1910,2018-03-26,2018,3,GALWAY,AUDI,A6,SALOON,BLUE,C,62400.0
201-L-4603,2020-02-19,2020,2,LIMERICK,TOYOTA,COROLLA,SALOON,RED,B,31232.0
191-D-4914,2019-09-01,2019,1,GALWAY,BMW,3 SERIES,ESTATE,RED,B,61789.0
201-D-3139,2019-01-27,2019,1,DUBLIN,BMW,2 SERIES,COUPE,BLUE,B,66439.0
202-C-2408,2020-09-07,2020,7,GALWAY,MERCEDES,C-CLASS,ESTATE,RED,B,123908.0
202-C-4680,2020-04-07,2020,7,CORK,OPEL,ASTRA,HATCHBACK,WHITE,A,29696.0
201-L-3753,2020-01-27,2020,1,GALWAY,OPEL,ASTRA,HATCHBACK,RED,A,24966.0
201-W-2023,2020-03-18,2020,3,GALWAY,FORD,FIESTA,HATCHBACK,SILVER,A,21988.0
201-L-1847,2020-02-16,2020,2,LIMERICK,FORD,MUSTANG,COUPE,SILVER,C,67966.0
201-D-2729,2020-04-23,2020,4,GALWAY,BMW,2 SERIES,COUPE,ORANGE,B,101102.0
181-D-362,2018-01-26,2018,1,GALWAY,OPEL,GRANDLAND X,SUV,RED,B,38699.0
181-C-2693,2018-03-16,2018,3,CORK,MERCEDES,GLC-CLASS,SUV,WHITE,C,123851.0
191-L-3106,2019-03-01,2019,1,LIMERICK,TOYOTA,COROLLA,SALOON,SILVER,B,30115.0
191-D-4123,2019-11-01,2019,1,GALWAY,MAZDA,MAZDA6,ESTATE,WHITE,B,35023.0
191-D-4582,2019-01-25,2019,1,DUBLIN,MERCEDES,A-CLASS,SALOON,WHITE,B,58406.0
201-D-932,2019-03-01,2019,1,DUBLIN,AUDI,A4,SALOON,WHITE,B,50614.0
181-W-1920,2018-01-14,2018,1,WATERFORD,BMW,3 SERIES,SALOON,RED,B,68861.0
202-D-4021,2020-07-23,2020,7,DUBLIN,MERCEDES,C-CLASS,ESTATE,BLUE,B,80983.0
182-D-4465,2018-08-25,2018,8,GALWAY,MAZDA,MAZDA3,SALOON,SILVER,B,36896.0
181-D-1781,2018-03-01,2018,1,GALWAY,MAZDA,MAZDA6,ESTATE,BLUE,B,35748.0
201-D-4385,2020-10-02,2020,2,DUBLIN,BMW,3 SERIES,HATCHBACK,RED,C,50504.0
202-L-966,2020-01-07,2020,7,GALWAY,MAZDA,MAZDA6,SALOON,RED,B,38600.0
